output,time,parameter,S1,ST
CNH,47,kAN,-0.002363283286118217,0.0297898821119541
CNH,47,kAOH,-0.0008794064907986501,0.030443299056481354
CNH,47,kNH,0.00013232315907273063,0.004233321927953604
CNH,48,kcat1,0.15792443279961169,0.2830884403484791
CNH,48,kcat2,0.016231522103137844,0.10110684974503525
CNH,48,Km1,0.023905043374448123,0.06701804263261868
CNH,48,Km2,0.04505336905251076,0.12248890017754059
CNH,48,Tmax,0.30086312194631687,0.4441704834069394
CNH,48,Ken,0.14986069792445036,0.21616568932978697
CNH,48,kAB,0.008451327867252134,0.04102108852708703
CNH,48,kAN,-0.002342036011194762,0.02966035366688798
CNH,48,kAOH,-0.0009605513267123203,0.030587629732131003
CNH,48,kNH,0.00019805267538181685,0.0043673431311416315
CNH,49,kcat1,0.15563714987381264,0.28000266421091247
CNH,49,kcat2,0.017283558142082767,0.10280292200302843
CNH,49,Km1,0.02338206240803214,0.06632675293696107
CNH,49,Km2,0.046254286403026756,0.12414398746658012
CNH,49,Tmax,0.300731512950203,0.4438087668406225
CNH,49,Ken,0.14946922315188418,0.2157127301274202
CNH,49,kAB,0.008882620748845904,0.041687028899446914
CNH,49,kAN,-0.0023219142200099695,0.029533771052593253
CNH,49,kAOH,-0.001043230492151797,0.03074103992799712
CNH,49,kNH,0.00026610061730959414,0.004503213787869019
CNH,50,kcat1,0.15336661172956093,0.276975230902383
CNH,50,kcat2,0.018349087724860894,0.10453714239297811
CNH,50,Km1,0.022862796854839374,0.06567418263445923
CNH,50,Km2,0.04745282957857103,0.12578961986907494
CNH,50,Tmax,0.30056335564870873,0.44343430582251336
CNH,50,Ken,0.14907093253832115,0.2152536998295739
CNH,50,kAB,0.00931143373103449,0.042363916023537285
CNH,50,kAN,-0.0023024947421659025,0.029409768343631498
CNH,50,kAOH,-0.0011262503957885602,0.03090309433096333
CNH,50,kNH,0.0003362510664975036,0.004640852481327081
CNH,51,kcat1,0.15111594346933452,0.27400224958409475
CNH,51,kcat2,0.01942786701350194,0.1063076339408955
CNH,51,Km1,0.022345777694512712,0.06506061922520616
CNH,51,Km2,0.04864860100978668,0.12742638548893753
CNH,51,Tmax,0.30036213261618194,0.44304928961134554
CNH,51,Ken,0.1486650771139921,0.21478780704465175
CNH,51,kAB,0.009737228716797554,0.04305034390359221
CNH,51,kAN,-0.002283711276120674,0.029288169815469996
CNH,51,kAOH,-0.001208824172464622,0.031073600712229088
CNH,51,kNH,0.00040863780351212283,0.00478019247878688
CNH,52,kcat1,0.14888708002119386,0.27107973635537397
CNH,52,kcat2,0.02051971447231388,0.10811330372289536
CNH,52,Km1,0.021820757358705072,0.06448701583799697
CNH,52,Km2,0.049840719808551516,0.1290549344608572
CNH,52,Tmax,0.3001326497652826,0.4426580054706246
CNH,52,Ken,0.14825415052739568,0.2143197971873986
CNH,52,kAB,0.010159481467379614,0.043745292635573106
CNH,52,kAN,-0.0022653753443071163,0.029169062978219844
CNH,52,kAOH,-0.0012904544758520996,0.03125262806576818
CNH,52,kNH,0.00048309388793760683,0.004921160073180615
CNH,53,kcat1,0.14668453776756551,0.2682019289033369
CNH,53,kcat2,0.0216250815323359,0.10995449032266409
CNH,53,Km1,0.02128793294598393,0.06395776778531505
CNH,53,Km2,0.051027867461079734,0.13067723781407417
CNH,53,Tmax,0.299882066251563,0.4422685354916007
CNH,53,Ken,0.1478406983411326,0.21385417304438933
CNH,53,kAB,0.010578308783605958,0.044446950766416055
CNH,53,kAN,-0.0022469142751274282,0.029052987007274083
CNH,53,kAOH,-0.0013700186094729426,0.03144090561478729
CNH,53,kNH,0.0005594438087128491,0.005063705239241739
CNH,54,kcat1,0.14451601911683934,0.26536280406522067
CNH,54,kcat2,0.022746037046983695,0.11183345002335211
CNH,54,Km1,0.02081223748053593,0.06345752633264969
CNH,54,Km2,0.052208075746604056,0.13229726469141587
CNH,54,Tmax,0.2996200141824979,0.44189284345914576
CNH,54,Ken,0.14742840219469125,0.21339488485187028
CNH,54,kAB,0.010993949024506539,0.04515252615626761
CNH,54,kAN,-0.0022271193961362107,0.028941628201008037
CNH,54,kAOH,-0.0014446440407783851,0.03164115226598665
CNH,54,kNH,0.0006375402097198612,0.005207775322746264
CNH,55,kcat1,0.1423804298690905,0.26256399303078437
CNH,55,kcat2,0.023880960460804818,0.11375259764309609
CNH,55,Km1,0.020350815319755612,0.0629941583433019
CNH,55,Km2,0.05338183723156124,0.13391486539357736
CNH,55,Tmax,0.29934627488229687,0.4415304150820952
CNH,55,Ken,0.1470164119397448,0.21293956118408075
CNH,55,kAB,0.011405300303330089,0.04586054781074048
CNH,55,kAN,-0.00220902784597312,0.028837059043044285
CNH,55,kAOH,-0.001513449848126112,0.031856262956057584
CNH,55,kNH,0.0007160883107940473,0.005353318439051557
CNH,56,kcat1,0.14026267133499326,0.2598187779536338
CNH,56,kcat2,0.025024495316608525,0.11571027397115063
CNH,56,Km1,0.01989319041996608,0.06256414917546115
CNH,56,Km2,0.05454990039135535,0.13552509988956452
CNH,56,Tmax,0.299046802072581,0.44116367535124595
CNH,56,Ken,0.14659850043144648,0.21248281721068885
CNH,56,kAB,0.01181047364639824,0.046572279496728014
CNH,56,kAN,-0.002196146861265215,0.028738750298669912
CNH,56,kAOH,-0.0015810052780226116,0.032086327741936746
CNH,56,kNH,0.0007939698733268615,0.005500730556912922
CNH,57,kcat1,0.1381659270989554,0.25713573199581535
CNH,57,kcat2,0.026182747179831444,0.11770487761402304
CNH,57,Km1,0.019442584408572564,0.062160985610000545
CNH,57,Km2,0.05571991997585016,0.13712577432319567
CNH,57,Tmax,0.29872905257387133,0.44078002373414676
CNH,57,Ken,0.1461833731719348,0.21202587690814187
CNH,57,kAB,0.012216677080257999,0.04728791035737414
CNH,57,kAN,-0.002180300242230619,0.028643281056294736
CNH,57,kAOH,-0.0016410235056807526,0.0323278538883522
CNH,57,kNH,0.0008784545980944385,0.005648638017581621
CNH,58,kcat1,0.13608248851312743,0.25451469987761505
CNH,58,kcat2,0.027350107216233436,0.11973440045067467
CNH,58,Km1,0.018993606530925147,0.061783370352661675
CNH,58,Km2,0.05688665900729098,0.13871501832952096
CNH,58,Tmax,0.2983842690422621,0.44038347948894074
CNH,58,Ken,0.1457648795616743,0.21156783249885328
